Fan Usage Time (hours),Fan Power Rating (W),Fan Consumption (kWh),Bulb Usage Time (hours),Bulb Power Rating (W),Bulb Consumption (kWh),Bell Usage Time (hours),Bell Power Rating (W),Bell Consumption (kWh),Socket Usage Time (hours),Socket Power Rating (W),Socket Consumption (kWh),Bill Generated (INR)
90,75,6.75,137,10,1.37,125,5,0.625,165,50,8.25,113.01675000000002
175,75,13.125,136,10,1.36,131,5,0.655,191,50,9.55,164.1885
55,75,4.125,264,10,2.64,120,5,0.6,255,50,12.75,133.76475000000002
344,75,25.8,312,10,3.12,95,5,0.475,156,50,7.8,247.34675000000001
111,75,8.325,211,10,2.11,109,5,0.545,258,50,12.9,158.802
88,75,6.6,214,10,2.14,95,5,0.475,65,50,3.25,82.89225
315,75,23.625,232,10,2.32,55,5,0.275,136,50,6.8,219.583
130,75,9.75,265,10,2.65,24,5,0.12,123,50,6.15,124.15550000000002
78,75,5.85,239,10,2.39,128,5,0.64,237,50,11.85,137.8545
295,75,22.125,253,10,2.53,109,5,0.545,328,50,16.4,276.64000000000004
327,75,24.525,82,10,0.82,29,5,0.145,161,50,8.05,223.041
285,75,21.375,85,10,0.85,85,5,0.425,192,50,9.6,214.4625
144,75,10.8,59,10,0.59,100,5,0.5,268,50,13.4,168.1785
277,75,20.775,309,10,3.09,99,5,0.495,70,50,3.5,185.269
127,75,9.525,270,10,2.7,42,5,0.21,112,50,5.6,119.93275000000003
87,75,6.525,247,10,2.47,134,5,0.67,102,50,5.1,98.18725
129,75,9.675,56,10,0.56,98,5,0.49,235,50,11.75,149.45875
106,75,7.95,311,10,3.11,109,5,0.545,276,50,13.8,168.94325
209,75,15.675,95,10,0.95,36,5,0.18,50,50,2.5,128.37825
337,75,25.275,185,10,1.85,68,5,0.34,161,50,8.05,236.17475000000002
252,75,18.9,128,10,1.28,120,5,0.6,87,50,4.35,167.11450000000002
188,75,14.1,304,10,3.04,122,5,0.61,66,50,3.3,139.98250000000002
155,75,11.625,337,10,3.37,47,5,0.235,359,50,17.95,220.64700000000002
209,75,15.675,163,10,1.63,74,5,0.37,368,50,18.4,239.89875000000004
227,75,17.025,80,10,0.8,23,5,0.115,102,50,5.1,153.216
277,75,20.775,216,10,2.16,43,5,0.215,374,50,18.7,278.30249999999995
189,75,14.175,79,10,0.79,131,5,0.655,296,50,14.8,202.29300000000003
256,75,19.2,161,10,1.61,81,5,0.405,158,50,7.9,193.61475000000002
175,75,13.125,123,10,1.23,117,5,0.585,164,50,8.2,153.881
164,75,12.3,105,10,1.05,90,5,0.45,122,50,6.1,132.335
135,75,10.125,106,10,1.06,65,5,0.325,277,50,13.85,168.644
329,75,24.675,317,10,3.17,129,5,0.645,215,50,10.75,260.94599999999997
124,75,9.3,60,10,0.6,125,5,0.625,73,50,3.65,94.26375000000002
90,75,6.75,204,10,2.04,36,5,0.18,240,50,12.0,139.4505
313,75,23.475,331,10,3.31,137,5,0.685,397,50,19.85,314.678
243,75,18.225,310,10,3.1,134,5,0.67,269,50,13.45,235.70925000000005
229,75,17.175,258,10,2.58,115,5,0.575,308,50,15.4,237.60450000000003
143,75,10.725,116,10,1.16,93,5,0.465,361,50,18.05,202.16
131,75,9.825,346,10,3.46,67,5,0.335,94,50,4.7,121.828
288,75,21.6,55,10,0.55,47,5,0.235,388,50,19.4,277.87025
317,75,23.775,104,10,1.04,107,5,0.535,345,50,17.25,283.28999999999996
74,75,5.55,260,10,2.6,109,5,0.545,372,50,18.6,181.51175000000003
99,75,7.425,335,10,3.35,83,5,0.415,102,50,5.1,108.3285
88,75,6.6,259,10,2.59,79,5,0.395,391,50,19.55,193.74775
242,75,18.15,185,10,1.85,148,5,0.74,394,50,19.7,268.926
140,75,10.5,250,10,2.5,145,5,0.725,256,50,12.8,176.39125
245,75,18.375,210,10,2.1,141,5,0.705,385,50,19.25,268.8595
341,75,25.575,225,10,2.25,64,5,0.32,188,50,9.4,249.67425000000003
306,75,22.95,76,10,0.76,103,5,0.515,307,50,15.35,263.17375000000004
136,75,10.2,241,10,2.41,65,5,0.325,279,50,13.95,178.78525
219,75,16.425,66,10,0.66,44,5,0.22,104,50,5.2,149.65825
248,75,18.6,280,10,2.8,138,5,0.69,260,50,13.0,233.34850000000003
243,75,18.225,228,10,2.28,72,5,0.36,255,50,12.75,223.53975000000003
345,75,25.875,314,10,3.14,132,5,0.66,93,50,4.65,228.26125000000002
239,75,17.925,163,10,1.63,108,5,0.54,369,50,18.45,256.32425
274,75,20.55,297,10,2.97,110,5,0.55,235,50,11.75,238.203
334,75,25.05,321,10,3.21,139,5,0.695,110,50,5.5,229.12575
147,75,11.025,229,10,2.29,123,5,0.615,239,50,11.95,172.10200000000003
75,75,5.625,51,10,0.51,100,5,0.5,168,50,8.4,99.98275000000001
192,75,14.4,172,10,1.72,77,5,0.385,224,50,11.2,184.23825000000002
125,75,9.375,242,10,2.42,140,5,0.7,252,50,12.6,166.88175
296,75,22.2,298,10,2.98,81,5,0.405,91,50,4.55,200.39775000000003
